ID,X,Y,Z,Type
1,1,-1.66165e-017,0,1
2,0.999751,5.32802e-005,0,1
3,0.999003,0.000212954,0,1
4,0.997758,0.000478523,0,1
5,0.996016,0.00084916,0,1
6,0.993779,0.00132371,0,1
7,0.99105,0.00190071,0,1
8,0.98783,0.00257837,0,1
9,0.984124,0.00335461,0,1
10,0.979933,0.00422709,0,1
11,0.975263,0.00519314,0,1
12,0.970118,0.00624988,0,1
13,0.964502,0.00739417,0,1
14,0.958422,0.00862263,0,1
15,0.951882,0.00993168,0,1
16,0.944889,0.0113176,0,1
17,0.937449,0.0127763,0,1
18,0.929571,0.0143038,0,1
19,0.92126,0.0158958,0,1
20,0.912527,0.017548,0,1
21,0.903377,0.0192558,0,1
22,0.893822,0.0210147,0,1
23,0.883869,0.02282,0,1
24,0.873529,0.024667,0,1
25,0.862811,0.0265511,0,1
26,0.851727,0.0284673,0,1
27,0.840286,0.0304108,0,1
28,0.8285,0.0323769,0,1
29,0.816381,0.0343607,0,1
30,0.80394,0.0363572,0,1
31,0.79119,0.0383618,0,1
32,0.778144,0.0403695,0,1
33,0.764813,0.0423756,0,1
34,0.751213,0.0443753,0,1
35,0.737355,0.0463637,0,1
36,0.723253,0.0483362,0,1
37,0.708923,0.050288,0,1
38,0.694377,0.0522145,0,1
39,0.679632,0.054111,0,1
40,0.6647,0.0559728,0,1
41,0.649598,0.0577954,0,1
42,0.634341,0.0595742,0,1
43,0.618943,0.0613047,0,1
44,0.603421,0.0629824,0,1
45,0.58779,0.064603,0,1
46,0.572066,0.066162,0,1
47,0.556265,0.0676552,0,1
48,0.540403,0.0690784,0,1
49,0.524496,0.0704273,0,1
50,0.508561,0.0716979,0,1
51,0.492613,0.0728864,0,1
52,0.476669,0.0739888,0,1
53,0.460745,0.0750016,0,1
54,0.444858,0.075921,0,1
55,0.429025,0.0767438,0,1
56,0.41326,0.0774668,0,1
57,0.397562,0.0780865,0,1
58,0.381859,0.0785788,0,1
59,0.366272,0.0789294,0,1
60,0.35082,0.0791371,0,1
61,0.335518,0.0792007,0,1
62,0.320382,0.0791196,0,1
63,0.30543,0.0788937,0,1
64,0.290678,0.0785233,0,1
65,0.27614,0.0780089,0,1
66,0.261834,0.0773517,0,1
67,0.247774,0.0765533,0,1
68,0.233976,0.0756157,0,1
69,0.220454,0.0745413,0,1
70,0.207223,0.073333,0,1
71,0.194298,0.0719941,0,1
72,0.181693,0.0705283,0,1
73,0.169419,0.0689398,0,1
74,0.157492,0.0672329,0,1
75,0.145923,0.0654124,0,1
76,0.134725,0.0634836,0,1
77,0.123909,0.0614517,0,1
78,0.113487,0.0593226,0,1
79,0.103469,0.057102,0,1
80,0.0938661,0.0547962,0,1
81,0.0846873,0.0524112,0,1
82,0.0759422,0.0499535,0,1
83,0.0676395,0.0474295,0,1
84,0.0597873,0.0448455,0,1
85,0.0523933,0.0422081,0,1
86,0.0454646,0.0395234,0,1
87,0.0390077,0.0367978,0,1
88,0.0330286,0.0340373,0,1
89,0.0275328,0.0312477,0,1
90,0.0225252,0.0284347,0,1
91,0.0180102,0.0256035,0,1
92,0.0139917,0.0227592,0,1
93,0.0104728,0.0199065,0,1
94,0.00745654,0.0170495,0,1
95,0.00494497,0.0141921,0,1
96,0.00293986,0.0113376,0,1
97,0.00144239,0.00848902,0,1
98,0.000453242,0.0056487,0,1
99,-2.74358e-005,0.00281857,0,1
100,0,0,0,1
101,0.000530893,-0.00276824,0,1
102,0.00156008,-0.00544762,0,1
103,0.00308569,-0.00803749,0,1
104,0.00510533,-0.0105371,0,1
105,0.00761614,-0.0129458,0,1
106,0.0106148,-0.0152627,0,1
107,0.0140974,-0.0174872,0,1
108,0.0180596,-0.0196183,0,1
109,0.0224968,-0.0216553,0,1
110,0.0274037,-0.0235976,0,1
111,0.0327746,-0.0254443,0,1
112,0.0386035,-0.0271948,0,1
113,0.0448839,-0.0288485,0,1
114,0.0516089,-0.030405,0,1
115,0.0587712,-0.0318639,0,1
116,0.0663633,-0.0332251,0,1
117,0.0743771,-0.0344884,0,1
118,0.0828042,-0.0356539,0,1
119,0.0916361,-0.036722,0,1
120,0.100864,-0.0376932,0,1
121,0.110478,-0.0385682,0,1
122,0.120469,-0.039348,0,1
123,0.130826,-0.0400338,0,1
124,0.141541,-0.0406271,0,1
125,0.152602,-0.0411297,0,1
126,0.163998,-0.0415436,0,1
127,0.17572,-0.0418709,0,1
128,0.187755,-0.0421143,0,1
129,0.200092,-0.0422766,0,1
130,0.21272,-0.0423607,0,1
131,0.225626,-0.04237,0,1
132,0.238799,-0.0423079,0,1
133,0.252226,-0.0421783,0,1
134,0.265895,-0.0419849,0,1
135,0.279793,-0.0417319,0,1
136,0.293907,-0.0414235,0,1
137,0.308225,-0.041064,0,1
138,0.322731,-0.040658,0,1
139,0.337414,-0.0402098,0,1
140,0.35226,-0.0397242,0,1
141,0.367254,-0.0392056,0,1
142,0.382383,-0.0386587,0,1
143,0.397632,-0.038088,0,1
144,0.413092,-0.0374861,0,1
145,0.428661,-0.0368363,0,1
146,0.444303,-0.0361418,0,1
147,0.460005,-0.0354066,0,1
148,0.475749,-0.0346342,0,1
